2025-03-17 22:39:33,535 INFO    Thread-9 (_run_job):1664 [wandb_config.py:__setitem__():154] config set beta1 = 0.9 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002431FBB3130>>
2025-03-17 22:39:33,535 INFO    Thread-9 (_run_job):1664 [wandb_run.py:_config_callback():1261] config_cb beta1 0.9 None
2025-03-17 22:39:33,535 INFO    Thread-9 (_run_job):1664 [wandb_config.py:__setitem__():154] config set beta2 = 0.999 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002431FBB3130>>
2025-03-17 22:39:33,535 INFO    Thread-9 (_run_job):1664 [wandb_run.py:_config_callback():1261] config_cb beta2 0.999 None
2025-03-17 22:39:33,535 INFO    Thread-9 (_run_job):1664 [wandb_config.py:__setitem__():154] config set loss = cross_entropy - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002431FBB3130>>
2025-03-17 22:39:33,535 INFO    Thread-9 (_run_job):1664 [wandb_run.py:_config_callback():1261] config_cb loss cross_entropy None
2025-03-17 22:39:33,536 INFO    Thread-9 (_run_job):1664 [wandb_config.py:__setitem__():154] config set epsilon = 1e-08 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000002431FBB3130>>
2025-03-17 22:39:33,536 INFO    Thread-9 (_run_job):1664 [wandb_run.py:_config_callback():1261] config_cb epsilon 1e-08 None
2025-03-17 22:57:01,473 INFO    Thread-9 (_run_job):1664 [wandb_run.py:_finish():2112] finishing run da24m002-indian-institute-of-technology-madras/da6401_a1_mnist/3jaquio7
2025-03-17 22:57:01,479 INFO    Thread-9 (_run_job):1664 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-17 22:57:01,484 INFO    Thread-9 (_run_job):1664 [wandb_run.py:_restore():2322] restore
2025-03-17 22:57:01,485 INFO    Thread-9 (_run_job):1664 [wandb_run.py:_restore():2328] restore done
2025-03-17 22:57:03,414 INFO    Thread-9 (_run_job):1664 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-17 22:57:03,416 INFO    Thread-9 (_run_job):1664 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-17 22:57:03,418 INFO    Thread-9 (_run_job):1664 [wandb_run.py:_footer_sync_info():3917] logging synced files
